RAW_DATA,DATE,LINE,RESULT,FULL_DATE,FREE_CELL,TOTAL_ZEROS,TOTAL_ONES,RATIO,
,,,,,24230,"20,755.00",3475,20755:3475,
22:11:10.030597|0.24|0.0|2019-04-11 02:11:10.030654,22:11:10,0.24,0,2019-04-11 2:11:10,,,,,
22:15:24.496782|0.0|0.0|2019-04-11 02:15:24.496837,22:15:24,0,0,2019-04-11 2:15:24,,,,,
22:15:25.824612|0.1|0.0|2019-04-11 02:15:25.824674,22:15:26,0.1,0,2019-04-11 2:15:26,,,,,
22:15:27.327040|0.2|0.0|2019-04-11 02:15:27.327094,22:15:27,0.2,0,2019-04-11 2:15:27,,,,,
22:15:28.501318|0.17|0.0|2019-04-11 02:15:28.501363,22:15:29,0.17,0,2019-04-11 2:15:29,,,,,
22:15:29.560471|0.4|0.0|2019-04-11 02:15:29.560527,22:15:30,0.4,0,2019-04-11 2:15:30,,,,,
22:15:30.638846|0.5|0.0|2019-04-11 02:15:30.638904,22:15:31,0.5,0,2019-04-11 2:15:31,,,,,
22:15:31.773771|0.6|0.0|2019-04-11 02:15:31.773824,22:15:32,0.6,0,2019-04-11 2:15:32,,,,,
22:15:32.851031|0.7|0.0|2019-04-11 02:15:32.851104,22:15:33,0.7,0,2019-04-11 2:15:33,,,,,
22:15:34.005220|0.8|0.0|2019-04-11 02:15:34.005262,22:15:34,0.8,0,2019-04-11 2:15:34,,,,,
22:15:35.066658|0.9|0.0|2019-04-11 02:15:35.066714,22:15:35,0.9,0,2019-04-11 2:15:35,,,,,
22:15:36.546374|0.11|0.0|2019-04-11 02:15:36.546418,22:15:37,0.11,0,2019-04-11 2:15:37,,,,,
22:15:37.737336|0.12|0.0|2019-04-11 02:15:37.737403,22:15:38,0.12,0,2019-04-11 2:15:38,,,,,
22:15:38.887571|0.13|0.0|2019-04-11 02:15:38.887645,22:15:39,0.13,0,2019-04-11 2:15:39,,,,,
22:15:39.930795|0.14|0.0|2019-04-11 02:15:39.930841,22:15:40,0.14,0,2019-04-11 2:15:40,,,,,
22:15:41.096172|0.15|0.0|2019-04-11 02:15:41.096214,22:15:41,0.15,0,2019-04-11 2:15:41,,,,,
22:15:42.124621|0.16|0.0|2019-04-11 02:15:42.124688,22:15:42,0.16,0,2019-04-11 2:15:42,,,,,
22:15:43.679565|0.18|0.0|2019-04-11 02:15:43.679644,22:15:44,0.18,0,2019-04-11 2:15:44,,,,,
22:15:44.761919|0.19|0.0|2019-04-11 02:15:44.761965,22:15:45,0.19,0,2019-04-11 2:15:45,,,,,
22:15:46.140479|0.21|0.0|2019-04-11 02:15:46.140555,22:15:46,0.21,0,2019-04-11 2:15:46,,,,,
22:15:47.557911|0.22|0.0|2019-04-11 02:15:47.557962,22:15:48,0.22,0,2019-04-11 2:15:48,,,,,
22:15:48.925863|0.23|0.0|2019-04-11 02:15:48.925919,22:15:49,0.23,0,2019-04-11 2:15:49,,,,,
22:15:50.086503|0.24|0.0|2019-04-11 02:15:50.086566,22:15:50,0.24,0,2019-04-11 2:15:50,,,,,
22:20:04.870829|0.0|0.0|2019-04-11 02:20:04.870877,22:20:05,0,0,2019-04-11 2:20:05,,,,,
22:20:06.294097|0.1|0.0|2019-04-11 02:20:06.294160,22:20:06,0.1,0,2019-04-11 2:20:06,,,,,
22:20:07.573881|0.2|0.0|2019-04-11 02:20:07.573935,22:20:08,0.2,0,2019-04-11 2:20:08,,,,,
22:20:09.109135|0.17|0.0|2019-04-11 02:20:09.109188,22:20:09,0.17,0,2019-04-11 2:20:09,,,,,
22:20:10.278935|0.4|0.0|2019-04-11 02:20:10.278989,22:20:10,0.4,0,2019-04-11 2:20:10,,,,,
22:20:11.468032|0.5|0.0|2019-04-11 02:20:11.468086,22:20:11,0.5,0,2019-04-11 2:20:11,,,,,
22:20:12.649827|0.6|0.0|2019-04-11 02:20:12.649895,22:20:13,0.6,0,2019-04-11 2:20:13,,,,,
22:20:14.123915|0.7|0.0|2019-04-11 02:20:14.123989,22:20:14,0.7,0,2019-04-11 2:20:14,,,,,
22:20:15.248447|0.8|0.0|2019-04-11 02:20:15.248574,22:20:15,0.8,0,2019-04-11 2:20:15,,,,,
22:20:16.542882|0.9|0.0|2019-04-11 02:20:16.542940,22:20:17,0.9,0,2019-04-11 2:20:17,,,,,
22:20:17.852029|0.11|0.0|2019-04-11 02:20:17.852341,22:20:18,0.11,0,2019-04-11 2:20:18,,,,,
22:20:19.232029|0.12|0.0|2019-04-11 02:20:19.232100,22:20:19,0.12,0,2019-04-11 2:20:19,,,,,
22:20:20.355452|0.13|0.0|2019-04-11 02:20:20.355496,22:20:20,0.13,0,2019-04-11 2:20:20,,,,,
22:20:21.341654|0.14|0.0|2019-04-11 02:20:21.341724,22:20:21,0.14,0,2019-04-11 2:20:21,,,,,
22:20:22.449917|0.15|0.0|2019-04-11 02:20:22.449969,22:20:22,0.15,0,2019-04-11 2:20:22,,,,,
22:20:23.636863|0.16|0.0|2019-04-11 02:20:23.636916,22:20:24,0.16,0,2019-04-11 2:20:24,,,,,
22:20:25.220492|0.18|0.0|2019-04-11 02:20:25.220553,22:20:25,0.18,0,2019-04-11 2:20:25,,,,,
22:20:26.326220|0.19|0.0|2019-04-11 02:20:26.326321,22:20:26,0.19,0,2019-04-11 2:20:26,,,,,
22:20:27.829148|0.21|0.0|2019-04-11 02:20:27.829224,22:20:28,0.21,0,2019-04-11 2:20:28,,,,,
22:20:29.013322|0.22|0.0|2019-04-11 02:20:29.013379,22:20:29,0.22,0,2019-04-11 2:20:29,,,,,
22:20:30.337465|0.23|0.0|2019-04-11 02:20:30.337525,22:20:30,0.23,0,2019-04-11 2:20:30,,,,,
22:20:31.517732|0.24|0.0|2019-04-11 02:20:31.517788,22:20:32,0.24,0,2019-04-11 2:20:32,,,,,
22:25:26.608589|0.0|0.0|2019-04-11 02:25:26.608674,22:25:27,0,0,2019-04-11 2:25:27,,,,,
22:25:27.832054|0.1|0.0|2019-04-11 02:25:27.832121,22:25:28,0.1,0,2019-04-11 2:25:28,,,,,
22:25:29.838802|0.2|0.0|2019-04-11 02:25:29.838857,22:25:30,0.2,0,2019-04-11 2:25:30,,,,,
22:25:30.943655|0.17|0.0|2019-04-11 02:25:30.943806,22:25:31,0.17,0,2019-04-11 2:25:31,,,,,
22:25:32.272017|0.4|0.0|2019-04-11 02:25:32.272069,22:25:32,0.4,0,2019-04-11 2:25:32,,,,,
22:25:33.332026|0.5|0.0|2019-04-11 02:25:33.332097,22:25:33,0.5,0,2019-04-11 2:25:33,,,,,
22:25:34.585989|0.6|0.0|2019-04-11 02:25:34.586036,22:25:35,0.6,0,2019-04-11 2:25:35,,,,,
22:25:35.611866|0.7|0.0|2019-04-11 02:25:35.611941,22:25:36,0.7,0,2019-04-11 2:25:36,,,,,
22:25:36.624882|0.8|0.0|2019-04-11 02:25:36.624963,22:25:37,0.8,0,2019-04-11 2:25:37,,,,,
22:25:37.780359|0.9|0.0|2019-04-11 02:25:37.780547,22:25:38,0.9,0,2019-04-11 2:25:38,,,,,
22:25:39.148300|0.11|0.0|2019-04-11 02:25:39.148364,22:25:39,0.11,0,2019-04-11 2:25:39,,,,,
22:25:40.297452|0.12|0.0|2019-04-11 02:25:40.297508,22:25:40,0.12,0,2019-04-11 2:25:40,,,,,
22:25:41.332323|0.13|0.0|2019-04-11 02:25:41.332383,22:25:41,0.13,0,2019-04-11 2:25:41,,,,,
22:25:42.444010|0.14|0.0|2019-04-11 02:25:42.444065,22:25:42,0.14,0,2019-04-11 2:25:42,,,,,
22:25:43.664084|0.15|0.0|2019-04-11 02:25:43.664141,22:25:44,0.15,0,2019-04-11 2:25:44,,,,,
22:25:44.924457|0.16|0.0|2019-04-11 02:25:44.924520,22:25:45,0.16,0,2019-04-11 2:25:45,,,,,
22:25:46.401504|0.18|0.0|2019-04-11 02:25:46.401601,22:25:46,0.18,0,2019-04-11 2:25:46,,,,,
22:25:47.747513|0.19|0.0|2019-04-11 02:25:47.747569,22:25:48,0.19,0,2019-04-11 2:25:48,,,,,
22:25:49.059507|0.21|0.0|2019-04-11 02:25:49.059574,22:25:49,0.21,0,2019-04-11 2:25:49,,,,,
22:25:50.124167|0.22|0.0|2019-04-11 02:25:50.124227,22:25:50,0.22,0,2019-04-11 2:25:50,,,,,
