DATE,LINE,RESULT,,,,TOTAL_ONES,,
,,,,,,1381,,
0.2325,0.18,0,,,,,,
0.2325,0.19,0,,,,,,
0.2325,0.21,0,,,,,,
0.2325,0.22,0,,,,,,
0.2325,0.23,1,,,,,,
0.2325,0.24,1,,,,,,
0.2330,0,0,,,,,,
0.2330,0.1,0,,,,,,
0.2330,0.2,0,,,,,,
0.2330,0.17,0,,,,,,
0.2330,0.4,0,,,,,,
0.2330,0.5,0,,,,,,
0.2330,0.6,0,,,,,,
0.2330,0.7,1,,,,,,
0.2330,0.8,0,,,,,,
0.2330,0.9,0,,,,,,
0.2330,0.11,1,,,,,,
0.2330,0.12,1,,,,,,
0.2330,0.13,0,,,,,,
0.2330,0.14,0,,,,,,
0.2330,0.15,0,,,,,,
0.2330,0.16,0,,,,,,
0.2330,0.18,0,,,,,,
0.2330,0.19,0,,,,,,
0.2330,0.21,0,,,,,,
0.2330,0.22,0,,,,,,
0.2330,0.23,1,,,,,,
0.2330,0.24,1,,,,,,
0.2335,0,0,,,,,,
0.2335,0.1,0,,,,,,
0.2335,0.2,0,,,,,,
0.2335,0.17,0,,,,,,
0.2335,0.4,0,,,,,,
0.2335,0.5,0,,,,,,
0.2335,0.6,0,,,,,,
0.2335,0.7,1,,,,,,
0.2335,0.8,0,,,,,,
0.2335,0.9,0,,,,,,
0.2335,0.11,1,,,,,,
0.2335,0.12,1,,,,,,
0.2335,0.13,0,,,,,,
0.2335,0.14,0,,,,,,
0.2335,0.15,0,,,,,,
0.2336,0.16,0,,,,,,
0.2336,0.18,0,,,,,,
0.2336,0.19,0,,,,,,
0.2336,0.21,0,,,,,,
0.2336,0.22,0,,,,,,
0.2336,0.23,0,,,,,,
0.2336,0.24,0,,,,,,
0.2340,0,0,,,,,,
0.2340,0.1,0,,,,,,
0.2340,0.2,0,,,,,,
0.2340,0.17,0,,,,,,
0.2340,0.4,0,,,,,,
0.2340,0.5,0,,,,,,
0.2340,0.6,0,,,,,,
0.2340,0.7,1,,,,,,
0.2340,0.8,0,,,,,,
0.2340,0.9,0,,,,,,
0.2340,0.11,1,,,,,,
0.2340,0.12,1,,,,,,
0.2340,0.13,0,,,,,,
0.2340,0.14,0,,,,,,
0.2340,0.15,0,,,,,,
0.2340,0.16,0,,,,,,
0.2340,0.18,0,,,,,,
0.2340,0.19,0,,,,,,
0.2340,0.21,0,,,,,,
0.2340,0.22,0,,,,,,
0.2340,0.23,0,,,,,,
0.2340,0.24,0,,,,,,
0.2345,0,0,,,,,,
0.2345,0.1,0,,,,,,
0.2345,0.2,0,,,,,,
0.2345,0.17,0,,,,,,
0.2345,0.4,0,,,,,,
0.2345,0.5,0,,,,,,
0.2345,0.6,0,,,,,,
0.2345,0.7,1,,,,,,
0.2345,0.8,0,,,,,,
0.2345,0.9,0,,,,,,
0.2345,0.11,1,,,,,,
0.2345,0.12,1,,,,,,
0.2345,0.13,0,,,,,,
0.2345,0.14,0,,,,,,
0.2345,0.15,0,,,,,,
0.2345,0.16,0,,,,,,
0.2345,0.18,0,,,,,,
0.2345,0.19,0,,,,,,
0.2345,0.21,0,,,,,,
0.2345,0.22,0,,,,,,
0.2345,0.23,0,,,,,,
0.2345,0.24,0,,,,,,
0.2350,0,0,,,,,,
0.2350,0.1,0,,,,,,
0.2350,0.2,0,,,,,,
0.2350,0.17,0,,,,,,
0.2350,0.4,0,,,,,,
0.2350,0.5,0,,,,,,
0.2350,0.6,0,,,,,,
0.2350,0.7,1,,,,,,
0.2350,0.8,0,,,,,,
0.2350,0.9,0,,,,,,
0.2350,0.11,1,,,,,,
0.2350,0.12,1,,,,,,
0.2350,0.13,0,,,,,,
0.2350,0.14,0,,,,,,
0.2350,0.15,1,,,,,,
0.2351,0.16,0,,,,,,
0.2351,0.18,0,,,,,,
0.2351,0.19,0,,,,,,
0.2351,0.21,0,,,,,,
0.2351,0.22,0,,,,,,
0.2351,0.23,0,,,,,,
0.2351,0.24,0,,,,,,
0.2355,0,0,,,,,,
0.2355,0.1,0,,,,,,
0.2355,0.2,0,,,,,,
0.2355,0.17,0,,,,,,
0.2355,0.4,0,,,,,,
0.2355,0.5,0,,,,,,
0.2355,0.6,0,,,,,,
0.2355,0.7,1,,,,,,
0.2355,0.8,0,,,,,,
0.2355,0.9,0,,,,,,
0.2355,0.11,1,,,,,,
0.2355,0.12,1,,,,,,
0.2355,0.13,0,,,,,,
0.2355,0.14,0,,,,,,
0.2355,0.15,1,,,,,,
0.2355,0.16,0,,,,,,
0.2355,0.18,0,,,,,,
0.2355,0.19,0,,,,,,
0.2355,0.21,0,,,,,,
0.2355,0.22,0,,,,,,
0.2355,0.23,0,,,,,,
0.2355,0.24,0,,,,,,
0.0000,0,0,,,,,,
0.0000,0.1,0,,,,,,
0.0000,0.2,0,,,,,,
0.0000,0.17,0,,,,,,
0.0000,0.4,0,,,,,,
0.0000,0.5,0,,,,,,
0.0000,0.6,0,,,,,,
0.0000,0.7,1,,,,,,
0.0000,0.8,0,,,,,,
0.0000,0.9,0,,,,,,
0.0000,0.11,1,,,,,,
0.0000,0.12,1,,,,,,
0.0000,0.13,0,,,,,,
0.0000,0.14,0,,,,,,
0.0000,0.15,1,,,,,,
0.0000,0.16,0,,,,,,
0.0000,0.18,0,,,,,,
0.0000,0.19,0,,,,,,
0.0000,0.21,0,,,,,,
0.0000,0.22,0,,,,,,
0.0000,0.23,0,,,,,,
0.0000,0.24,0,,,,,,
0.0005,0,0,,,,,,
0.0005,0.1,0,,,,,,
0.0005,0.2,0,,,,,,
0.0005,0.17,0,,,,,,
0.0005,0.4,0,,,,,,
0.0005,0.5,0,,,,,,
0.0005,0.6,0,,,,,,
0.0005,0.7,1,,,,,,
0.0005,0.8,0,,,,,,
0.0005,0.9,0,,,,,,
0.0005,0.11,1,,,,,,
0.0005,0.12,1,,,,,,
0.0005,0.13,0,,,,,,
0.0005,0.14,0,,,,,,
0.0005,0.15,1,,,,,,
0.0005,0.16,0,,,,,,
0.0005,0.18,0,,,,,,
0.0005,0.19,0,,,,,,
